Thin Section: 	C:\Ice Data\2017-07-21-Fri\10.08 SPICE 1699 VTS

Results: 	C:\Ice Results\2017-07-21-Fri\10.08 SPICE 1699 VTS\2017-07-21-Fri, 14.11

Sequence Angles: 
xi	phi inner
0	0
45	0
45	-45
45	-90
45	-135
45	-180
45	-225
45	-270
45	-315

Threshold: 
45.000

Grain #		theta		phi	Rsquared

149.000000	12.060700	61.244936	0.018059
150.000000	-6.092158	35.236530	0.022166
151.000000	-75.131163	-87.154295	0.011899
152.000000	41.106769	-85.054696	0.006413
153.000000	-86.627044	-90.266926	0.011486
154.000000	-17.406414	-75.799070	0.010010
155.000000	-21.496358	-67.062370	0.009676
156.000000	45.827530	-85.145001	0.002238
157.000000	40.790486	-67.524233	0.006373
158.000000	79.212988	-89.593391	0.003735
159.000000	57.289545	89.518226	0.001534
160.000000	84.045608	-88.956232	0.007746
161	grain not analyzable
162.000000	61.634712	86.022826	0.002772
163.000000	16.966477	80.595042	0.045025
164.000000	70.663961	77.822341	0.013293
165.000000	26.132661	64.174879	0.000159
166.000000	37.356214	-71.276129	0.012160
167.000000	73.245301	86.936015	0.001013
168.000000	36.825827	-70.718240	0.012499
169	grain not analyzable
170.000000	-18.412066	88.639082	0.001602
171.000000	23.440601	-62.563135	0.006405
172.000000	43.752763	84.511657	0.002487
173.000000	-74.389849	-84.417792	0.003959
174.000000	60.668765	87.257664	0.000513
175.000000	20.628692	-61.515955	0.010623
176	grain not analyzable
177.000000	31.837940	-80.643510	0.003012
178.000000	-64.634636	86.742640	0.005692
179.000000	23.096577	-69.521124	0.073526
180.000000	24.112924	-73.696901	0.002094
181.000000	87.249903	-86.357802	0.004854
182.000000	-47.401788	87.363462	0.002893
183.000000	42.628658	89.237516	0.005201
184.000000	72.207926	82.354831	0.016578
185.000000	13.768850	79.508419	0.000373
186.000000	22.771771	-75.268668	0.008257
187.000000	75.883925	85.394327	0.000625
188.000000	58.899867	-83.991085	0.100122
189.000000	20.180515	-61.683720	0.013545
190.000000	-37.823075	-82.445958	0.006568
191.000000	23.679548	86.497041	0.000515
192.000000	67.392586	89.386472	0.009084
193.000000	17.445230	46.578396	0.002609
194.000000	86.560284	-83.474334	0.022500
195.000000	43.996519	-76.953415	0.003477
196.000000	30.876478	84.134581	0.002137
197.000000	-35.395749	-81.630607	0.008976
198.000000	86.702567	-89.198740	0.001617
199.000000	-90.832067	89.353325	0.001838
200.000000	19.364874	43.793457	0.002434
201.000000	-37.121863	89.030673	0.001319
202.000000	70.093234	85.501553	0.009938
203.000000	21.511876	-69.315696	0.003219
204.000000	20.913243	-67.247869	0.001696
205	grain not analyzable
206.000000	14.083820	24.637992	0.002211
207.000000	70.318173	84.085632	0.001452
208.000000	40.596577	84.019427	0.000710
209	grain not analyzable
210.000000	72.330356	84.640875	0.003436
211.000000	44.813536	-80.424549	0.007008
212.000000	9.762911	84.386703	0.005226
213.000000	80.205022	89.131190	0.013522
214.000000	20.625788	-68.993203	0.026989
215.000000	31.111858	-77.359902	0.001574
216.000000	-25.391220	69.412518	0.000108
217.000000	-20.288370	82.778054	0.000012
218.000000	-32.424132	-84.146647	0.040572
219.000000	8.414820	-71.115696	0.000720
220.000000	19.423887	82.015538	0.000573
221.000000	-30.805193	89.705696	0.055011
222.000000	39.859544	81.704386	0.002409
223.000000	36.377705	-86.739590	0.001492
